"sle","susdat_id"
"108","134683"
"108","134684"
"108","134685"
"108","134686"
"108","134687"
"108","134688"
"108","134689"
"108","134690"
"108","134691"
"108","134692"
"104","0"
"104","400859"
"104","1386"
"104","7032"
"104","2049"
"104","112678"
"104","8480"
"104","2089"
"104","3196"
"104","658"
"104","13509"
"104","9208"
"104","95602"
"104","112832"
"104","134262"
"104","134263"
"104","67930"
"104","100125"
"104","5562"
"104","98482"
"104","14198"
"104","75635"
"104","79596"
"104","74464"
"104","81504"
"104","80755"
"104","13481"
"104","10085"
"104","43"
"104","93512"
"104","8883"
"104","134264"
"104","689"
"104","7447"
"104","74187"
"104","134265"
"104","1126"
"104","385"
"104","134266"
"104","2218"
"104","88"
"104","134267"
"104","134268"
"104","134269"
"104","112450"
"104","14246"
"104","79208"
"104","1814"
"104","8785"
"104","9775"
"104","6239"
"104","79052"
"104","134270"
"104","73847"
"104","76315"
"104","13411"
"104","5570"
"104","21246"
"104","5997"
"104","3792"
"104","609"
"104","10425"
"104","86652"
"104","36669"
"104","51690"
"104","8355"
"104","10339"
"104","7962"
"104","77208"
"104","10740"
"104","1091"
"104","82310"
"104","78671"
"104","75688"
"104","134271"
"104","80976"
"104","112649"
"104","82563"
"104","113026"
"104","134272"
"104","3762"
"104","134273"
"104","13438"
"104","7229"
"104","13473"
"104","8183"
"104","98606"
"104","84098"
"104","98776"
"104","105"
"104","8059"
"104","76280"
"104","6696"
"104","75977"
"104","112433"
"104","134274"
"104","75623"
"104","93167"
"104","134275"
"104","75801"
"104","6064"
"104","79398"
"104","83161"
"104","134276"
"104","6507"
"104","134277"
"104","79151"
"104","7335"
"104","134278"
"104","68017"
"104","83705"
"104","4741"
"104","14205"
"104","34310"
"104","14203"
"104","282"
"104","114"
"104","99570"
"104","134279"
"104","75874"
"104","76003"
"104","93503"
"104","96378"
"104","99581"
"104","75647"
"104","134280"
"104","76148"
"104","78782"
"104","108173"
"104","691"
"104","9182"
"104","134721"
"104","29437"
"104","17222"
"104","134281"
"104","134282"
"104","344"
"104","73866"
"104","134283"
"104","11516"
"104","8403"
"104","10095"
"104","5592"
"104","688"
"104","3623"
"104","3639"
"104","52778"
"104","68030"
"104","4749"
"104","221"
"104","134284"
"104","4540"
"104","502125"
"104","81463"
"104","1957"
"104","6036"
"104","8266"
"104","5455"
"104","524"
"104","19406"
"104","81371"
"104","55011"
"104","78150"
"104","82436"
"104","134285"
"104","134286"
"104","74370"
"104","98627"
"104","76307"
"104","3929"
"104","134287"
"104","134288"
"104","9564"
"104","10889"
"104","10349"
"104","78970"
"104","74527"
"104","4783"
"104","10726"
"104","203"
"104","86102"
"104","134289"
"104","83251"
"104","7910"
"104","1908"
"104","19475"
"104","12427"
"104","79024"
"104","112503"
"104","6592"
"104","10603"
"104","74413"
"104","74373"
"104","134290"
"104","134291"
"104","349"
"104","15415"
"104","9622"
"104","8198"
"104","21078"
"104","6300"
"104","8747"
"104","7685"
"104","8563"
"104","134292"
"104","83418"
"104","134293"
"104","8630"
"104","7426"
"104","112682"
"104","11538"
"104","74107"
"104","134294"
"104","6419"
"104","4097"
"104","107652"
"104","44002"
"104","112711"
"104","134295"
"104","112640"
"104","1575"
"104","14841"
"104","13710"
"104","72230"
"104","17223"
"104","40788"
"104","15431"
"104","74480"
"104","7183"
"104","112930"
"104","19476"
"104","78775"
"104","79272"
"104","134296"
"104","361"
"104","20"
"104","80116"
"104","134297"
"104","99722"
"104","14343"
"104","2384"
"104","3507"
"104","160"
"104","4957"
"104","134298"
"104","75866"
"104","409"
"104","216"
"104","105365"
"104","99491"
"104","8441"
"104","76395"
"104","95129"
"104","27"
"104","75727"
"104","25"
"104","68567"
"104","134299"
"104","112994"
"104","134300"
"104","75644"
"104","80495"
"104","74383"
"104","80860"
"104","75758"
"104","8966"
"104","8011"
"104","79925"
"104","81306"
"104","99572"
"104","75699"
"104","68035"
"104","10545"
"104","10658"
"104","134301"
"104","4481"
"104","9598"
"104","18"
"104","68027"
"104","82807"
"104","21332"
"104","10058"
"104","76214"
"104","1876"
"104","7314"
"104","1849"
"104","4151"
"104","392"
"104","210"
"104","82586"
"104","134302"
"104","6918"
"104","134303"
"104","170"
"104","13998"
"104","9178"
"104","11456"
"104","50902"
"104","112501"
"104","9227"
"104","10003"
"104","76303"
"104","21050"
"104","545"
"104","134304"
"104","3806"
"104","11863"
"104","81803"
"104","10597"
"104","17230"
"104","179"
"104","14219"
"104","231"
"104","3180"
"104","76342"
"104","400952"
"104","134305"
"104","101820"
"104","79718"
"104","6684"
"104","67927"
"104","98765"
"104","502"
"104","10275"
"104","10045"
"104","19704"
"104","2984"
"104","675"
"104","76225"
"104","13561"
"104","80965"
"104","116399"
"104","11484"
"104","11647"
"104","134306"
"104","112940"
"104","113004"
"104","76237"
"104","113171"
"104","1006"
"104","20581"
"104","112481"
"104","13949"
"104","134307"
"104","13991"
"104","75749"
"104","78251"
"104","2082"
"104","80667"
"104","81403"
"104","76322"
"104","83170"
"104","81389"
"104","134308"
"104","134309"
"104","134310"
"104","134311"
"104","134312"
"104","134313"
"104","134314"
"104","10534"
"104","394"
"104","181"
"104","537"
"104","78746"
"104","78836"
"104","10899"
"104","15462"
"104","8857"
"104","13163"
"104","2126"
"104","4305"
"104","9085"
"104","45361"
"104","134315"
"104","4940"
"104","134316"
"104","9439"
"104","19538"
"104","4700"
"104","68133"
"104","15446"
"104","100138"
"104","79276"
"104","8695"
"104","9550"
"104","99723"
"104","78792"
"104","134317"
"104","14360"
"104","134318"
"104","113072"
"104","134319"
"104","74442"
"104","134320"
"104","81172"
"104","78135"
"104","74364"
"104","76447"
"104","134321"
"104","93521"
"104","134322"
"104","76259"
"104","77225"
"104","74299"
"104","79356"
"104","82174"
"104","134323"
"104","134324"
"104","77223"
"104","78166"
"104","20437"
"104","134325"
"104","14057"
"104","76263"
"104","134326"
"104","76150"
"104","77200"
"104","14069"
"104","78333"
"104","112663"
"104","112645"
"104","134327"
"104","79169"
"104","93581"
"104","74304"
"104","82555"
"104","75639"
"104","83279"
"104","81401"
"104","80989"
"104","45816"
"104","74444"
"104","14091"
"104","113071"
"104","9340"
"104","6925"
"104","6891"
"104","5980"
"104","8496"
"104","1800"
"104","3609"
"104","505"
"104","424"
"104","10335"
"104","134328"
"104","2272"
"104","320"
"104","14135"
"104","198"
"104","268"
